timestamp,operations,errors,l1_baseline,l2_baseline,l3_baseline,ram_baseline,efficiency,latency_ns
0,1,0,1000,0,500000,440000,9410,14106449
0,101,0,1000,0,500000,440000,9410,3807305
0,201,0,1000,0,500000,440000,9410,3833836
1,301,0,1000,0,500000,440000,9410,3810065
1,401,0,1000,0,500000,440000,9410,3842096
2,501,0,1000,0,500000,440000,9410,3805766
2,601,0,1000,0,500000,440000,9410,3802245
3,701,0,1000,0,500000,440000,9410,3822585
3,801,0,1000,0,500000,440000,9410,3797125
4,901,0,1000,0,500000,440000,9410,3792825
4,1001,0,1000,0,500000,440000,9410,3805935
4,1101,0,1000,0,500000,440000,9410,3835616
5,1201,0,1000,0,500000,440000,9410,3806426
5,1301,0,1000,0,500000,440000,9410,3834945
6,1401,0,1000,0,500000,440000,9410,10081493
6,1501,0,1000,0,500000,440000,9410,3821215
7,1601,0,1000,0,500000,440000,9410,3811995
7,1701,0,1000,0,500000,440000,9410,3855666
8,1801,0,1000,0,500000,440000,9410,3837445
8,1901,0,1000,0,500000,440000,9410,3827365
9,2001,0,1000,0,500000,440000,9410,3871835
9,2101,0,1000,0,500000,440000,9410,3806635
9,2201,0,1000,0,500000,440000,9410,3794295
10,2301,0,1000,0,500000,440000,9410,3813035
10,2401,0,1000,0,500000,440000,9410,10003574
11,2501,0,1000,0,500000,440000,9410,3806855
11,2601,0,1000,0,500000,440000,9410,3803445
12,2701,0,1000,0,500000,440000,9410,3826445
12,2801,0,1000,0,500000,440000,9410,3812566
13,2901,0,1000,0,500000,440000,9410,3803815
13,3001,0,1000,0,500000,440000,9410,3805575
13,3101,0,1000,0,500000,440000,9410,3820676
14,3201,0,1000,0,500000,440000,9410,3816056
14,3301,0,1000,0,500000,440000,9410,3803646
15,3401,0,999,0,500000,440000,9409,3822386
15,3501,0,1000,0,500000,440000,9410,3806045
16,3601,0,1000,0,500000,440000,9410,3808756
16,3701,0,1000,0,500000,440000,9410,10036843
17,3801,0,1000,0,500000,440000,9410,3804605
17,3901,0,1000,0,500000,440000,9410,3820715
17,4001,0,1000,0,500000,440000,9410,3814295
18,4101,0,1000,0,500000,440000,9410,3809735
18,4201,0,1000,0,500000,440000,9410,3814615
19,4301,0,1000,0,500000,440000,9410,3823975
19,4401,0,1000,0,500000,440000,9410,10605155
20,4501,0,1000,0,500000,440000,9410,3798945
20,4601,0,1000,0,500000,440000,9410,3816725
21,4701,0,1000,0,500000,440000,9410,3811825
21,4801,0,1000,0,500000,440000,9410,3809365
21,4901,0,1000,0,500000,440000,9410,3813345
22,5001,0,1000,0,500000,440000,9410,3803675
22,5101,0,1000,0,500000,440000,9410,3830165
23,5201,0,1000,0,500000,440000,9410,3808345
23,5301,0,1000,0,500000,440000,9410,3750535
24,5401,0,1000,0,500000,440000,9410,4230426
24,5501,0,1000,0,500000,440000,9410,3814606
25,5601,0,1000,0,500000,440000,9410,3799165
25,5701,0,1000,0,500000,440000,9410,9970994
25,5801,0,1000,0,500000,440000,9410,4330246
26,5901,0,1000,0,500000,440000,9410,3842715
26,6001,0,1000,0,500000,440000,9410,3830875
27,6101,0,1000,0,500000,440000,9410,3848755
27,6201,0,1000,0,500000,440000,9410,3829745
28,6301,0,1000,0,500000,440000,9410,3845085
28,6401,0,1000,0,500000,440000,9410,10071744
